bedrijf,plaats,regio,provincie,website,email,mobiel_whatsapp,contactformulier_url,warmtepomp_bevestigd,ook_actief_in,outreach_status,bron
Installatiebureau Jongsma,Assen,Assen,Drenthe,https://jongsma-assen.nl/,info@jongsma-assen.nl,,,ja,,,OSM/Overpass + website
Kamps Technische Installaties,Rolde,Assen,Drenthe,http://www.kampsbv.nl/,contact@kampsbv.nl,,,ja,,,OSM/Overpass + website
J. Hoffer,Zwaagdijk-Oost,Almere,Flevoland,https://www.tib-hoffer.nl/,info@tib-hoffer.nl,,,ja,Hoorn,,OSM/Overpass + website
Bouma technisch installatiebedrijf,Burgum,Leeuwarden,Friesland,https://www.bouma-installatie.nl/,info@bouma-installatie.nl,,,ja,,,OSM/Overpass + website
Installatietechniek Dijkstra,Leeuwarden,Leeuwarden,Friesland,https://dijkstrabv.nl/,info@dijkstrabv.nl,,,ja,,,OSM/Overpass + website
Hafkamp,Apeldoorn,Arnhem,Gelderland,https://www.hafkamp.nu/,,0690113810,,ja,Apeldoorn,,OSM/Overpass + website
Hullenaar Balk Installatietechniek,Bemmel,Nijmegen,Gelderland,https://www.hullenaarbalk.nl,info@hullenaarbalk.nl,,,ja,Arnhem,,OSM/Overpass + website
Installatiebedrijf van Ginkel,Bennekom,Nijmegen,Gelderland,https://www.ginkel.nu/,,,https://ginkel.nu/contact,ja,Arnhem; Amersfoort; Apeldoorn,,OSM/Overpass + website
Welgraven Bennekom B.V.,Bennekom,Nijmegen,Gelderland,https://www.welgraven-bennekom.nl/,info@welgraven-bennekom.nl,,,ja,Arnhem; Amersfoort; Apeldoorn,,OSM/Overpass + website
Smeijer Installatietechniek,Dieren,Arnhem,Gelderland,https://smeijer.nl/,info@smeijer.nl,,,ja,Apeldoorn,,OSM/Overpass + website
Installatiebedrijf Pere Doornenburg BV,Doornenburg,Nijmegen,Gelderland,https://www.installatiebedrijfpere.nl,info@installatiebedrijfpere.nl,,,ja,Arnhem,,OSM/Overpass + website
GWI Installatietechniek,Elst,Nijmegen,Gelderland,https://gwi-installatietechniek.nl/,info@gwi-installatietechniek.nl,,,ja,Arnhem,,OSM/Overpass + website
Carool Installatiebedrijf,Klarenbeek,Arnhem,Gelderland,https://caroolinstallatiebedrijf.nl/,info@caroolinstallatiebedrijf.nl,,,ja,Apeldoorn,,OSM/Overpass + website
Klaassen Installatietechniek,Wehl,Arnhem,Gelderland,https://www.klaasseninstallatietechniek.nl/,,,https://www.klaasseninstallatietechniek.nl/contact,ja,Apeldoorn,,OSM/Overpass + website
Kentech bv,Bedum,Groningen,Groningen,https://kentechbv.nl,,0620022294,,ja,,,OSM/Overpass + website
Van de Lisdonk Installatiebedrijf,Melderslo,Venlo,Limburg,https://www.vdlisdonk.nl/,info@vdlisdonk.nl,,,ja,,,OSM/Overpass + website
Verwarmingsbedrijf Dre van Loon,Goirle,Tilburg,Noord-Brabant,https://www.drevanloon.nl/,info@drevanloon.nl,,,ja,Breda,,OSM/Overpass + website
Van Oers Installaties,Oisterwijk,Eindhoven,Noord-Brabant,https://www.vanoersoisterwijk.nl,info@vanoersoisterwijk.nl,,,ja,Tilburg; Den Bosch,,OSM/Overpass + website
Installatiebedrijf Denissen,Riel,Tilburg,Noord-Brabant,https://www.installatiebedrijfdenissen.nl/,info@installatiebedrijfdenissen.nl,,,ja,Breda; Den Bosch,,OSM/Overpass + website
De Jong luchtverwarming,Schijndel,Eindhoven,Noord-Brabant,https://www.jongluchtverwarming.nl/,info@jongluchtverwarming.nl,,,ja,Tilburg; Den Bosch,,OSM/Overpass + website
CoolAir Nederland,Purmerend,Amsterdam,Noord-Holland,https://www.coolairnederland.nl/,info@coolairnederland.nl,,,ja,Almere; Zaandam; Purmerend; Alkmaar; Hoorn,,OSM/Overpass + website
REVO,Purmerend,Amsterdam,Noord-Holland,https://rizzyco.wixsite.com/revobv-2,,,https://rizzyco.wixsite.com/revobv-2/contact,ja,Almere; Zaandam; Purmerend; Alkmaar; Hoorn,,OSM/Overpass + website
Aircoshop,Eibergen,Enschede,Overijssel,https://www.aircoshop.nl,,0666262419,,ja,,,OSM/Overpass + website
Installatiebedrijf Koller,Hattem,Zwolle,Overijssel,https://kollerhattem.nl/,info@kollerhattem.nl,,,ja,,,OSM/Overpass + website
IM Duurzaam,Bunschoten-Spakenburg,Utrecht,Utrecht,https://www.daikin.nl/nl_nl/consument/dealer-locator/im-duurzaam.html,aangenaam@daikin.nl,,,ja,Almere; Amersfoort,,OSM/Overpass + website
Installatiebedrijf Nescio,Vlissingen,Middelburg,Zeeland,https://www.ibnescio.nl/,,0622574143,,ja,,,OSM/Overpass + website
T.B. van Wichen,'s-Gravenhage,Rotterdam,Zuid-Holland,https://vanwichenbv.nl/,info@vanwichenbv.nl,,,ja,Den Haag; Leiden; Zoetermeer; Delft,,OSM/Overpass + website
Installatiebedrijf Keyzer,Den Hoorn,Rotterdam,Zuid-Holland,https://www.keyzerbv.nl/,installatiebedrijf@keyzerbv.nl,,,ja,Den Haag; Leiden; Zoetermeer; Delft,,OSM/Overpass + website
