bedrijf,plaats,regio,provincie,website,email,mobiel_whatsapp,contactformulier_url,warmtepomp_bevestigd,ook_actief_in,outreach_status,bron
Installatiebureau Jongsma,Assen,Assen,Drenthe,https://jongsma-assen.nl/,info@jongsma-assen.nl,,,ja,,,OSM/Overpass + website
Kamps Technische Installaties,Rolde,Assen,Drenthe,http://www.kampsbv.nl/,contact@kampsbv.nl,,,ja,,,OSM/Overpass + website
J. Hoffer,Zwaagdijk-Oost,Almere,Flevoland,https://www.tib-hoffer.nl/,info@tib-hoffer.nl,,,ja,Hoorn,,OSM/Overpass + website
Bouma technisch installatiebedrijf,Burgum,Leeuwarden,Friesland,https://www.bouma-installatie.nl/,info@bouma-installatie.nl,,,ja,,,OSM/Overpass + website
Installatietechniek Dijkstra,Leeuwarden,Leeuwarden,Friesland,https://dijkstrabv.nl/,info@dijkstrabv.nl,,,ja,,,OSM/Overpass + website
Hafkamp,Apeldoorn,Arnhem,Gelderland,https://www.hafkamp.nu/,,0690113810,,ja,Apeldoorn,,OSM/Overpass + website
Hullenaar Balk Installatietechniek,Bemmel,Nijmegen,Gelderland,https://www.hullenaarbalk.nl,info@hullenaarbalk.nl,,,ja,Arnhem,,OSM/Overpass + website
Installatiebedrijf van Ginkel,Bennekom,Nijmegen,Gelderland,https://www.ginkel.nu/,,,https://ginkel.nu/contact,ja,Arnhem; Amersfoort; Apeldoorn,,OSM/Overpass + website
Welgraven Bennekom B.V.,Bennekom,Nijmegen,Gelderland,https://www.welgraven-bennekom.nl/,info@welgraven-bennekom.nl,,,ja,Arnhem; Amersfoort; Apeldoorn,,OSM/Overpass + website
Van Haren Installaties,Cuijk,Nijmegen,Gelderland,https://www.vanharencuijk.nl/,info@vanharencuijk.nl,,,ja,,,OSM/Overpass + website
Smeijer Installatietechniek,Dieren,Arnhem,Gelderland,https://smeijer.nl/,info@smeijer.nl,,,ja,Apeldoorn,,OSM/Overpass + website
Buwegs Installatie,Doetinchem,Apeldoorn,Gelderland,https://www.buwegs.nl/,info@buwegs.nl,,,ja,,,OSM/Overpass + website
Installatiebedrijf Pere Doornenburg BV,Doornenburg,Nijmegen,Gelderland,https://www.installatiebedrijfpere.nl,info@installatiebedrijfpere.nl,,,ja,Arnhem,,OSM/Overpass + website
GWI Installatietechniek,Elst,Nijmegen,Gelderland,https://gwi-installatietechniek.nl/,info@gwi-installatietechniek.nl,,,ja,Arnhem,,OSM/Overpass + website
Carool Installatiebedrijf,Klarenbeek,Arnhem,Gelderland,https://caroolinstallatiebedrijf.nl/,info@caroolinstallatiebedrijf.nl,,,ja,Apeldoorn,,OSM/Overpass + website
Trefpunt Duurzaam,Veenendaal,Nijmegen,Gelderland,https://www.duurzaamveenendaal.nl/advies/,,0648518893,,ja,Amersfoort; Apeldoorn,,OSM/Overpass + website
Klaassen Installatietechniek,Wehl,Arnhem,Gelderland,https://www.klaasseninstallatietechniek.nl/,,,https://www.klaasseninstallatietechniek.nl/contact,ja,Apeldoorn,,OSM/Overpass + website
Kentech bv,Bedum,Groningen,Groningen,https://kentechbv.nl,,0620022294,,ja,,,OSM/Overpass + website
VerduurzamingHUB,Groningen,Groningen,Groningen,https://verduurzaminghub.nl/,,0607733112,,ja,,,OSM/Overpass + website
TIB Totaal-Installateurs,Haren Gn,Groningen,Groningen,https://www.tib.nl/,info@tib.nl,,,ja,Assen,,OSM/Overpass + website
ERRO Verwarming Sanitair Center,Maastricht,Maastricht,Limburg,https://www.erroheating.be/,info@erroheating.be,,,ja,,,OSM/Overpass + website
Van de Lisdonk Installatiebedrijf,Melderslo,Venlo,Limburg,https://www.vdlisdonk.nl/,info@vdlisdonk.nl,,,ja,,,OSM/Overpass + website
Verwarmingsbedrijf Dre van Loon,Goirle,Tilburg,Noord-Brabant,https://www.drevanloon.nl/,info@drevanloon.nl,,,ja,Breda,,OSM/Overpass + website
Heesmans Installatie Techniek,Helmond,Eindhoven,Noord-Brabant,https://www.heesmans.nl,info@heesmans.nl,,,ja,,,OSM/Overpass + website
installatiebedrijf van den Berg,Meerle,Tilburg,Noord-Brabant,https://www.vdberg.be,info@vdberg.be,,,ja,Breda,,OSM/Overpass + website
Van Oers Installaties,Oisterwijk,Eindhoven,Noord-Brabant,https://www.vanoersoisterwijk.nl,info@vanoersoisterwijk.nl,,,ja,Tilburg; Den Bosch,,OSM/Overpass + website
Installatiebedrijf Denissen,Riel,Tilburg,Noord-Brabant,https://www.installatiebedrijfdenissen.nl/,info@installatiebedrijfdenissen.nl,,,ja,Breda; Den Bosch,,OSM/Overpass + website
De Jong luchtverwarming,Schijndel,Eindhoven,Noord-Brabant,https://www.jongluchtverwarming.nl/,info@jongluchtverwarming.nl,,,ja,Tilburg; Den Bosch,,OSM/Overpass + website
De Gaswacht,Tilburg,Tilburg,Noord-Brabant,https://www.degaswacht.com/,info@degaswacht.com,,,ja,Dordrecht; Den Bosch,,OSM/Overpass + website
Veldhoven Duurzaam,Veldhoven,Eindhoven,Noord-Brabant,https://veldhovenduurzaam.nl/,info@veldhovenduurzaam.nl,,,ja,Tilburg,,OSM/Overpass + website
